Id,Sales
1,12638.78125
2,11033.18359375
3,13534.3330078125
4,9824.7841796875
5,13534.3330078125
6,9824.7841796875
7,14226.669921875
8,10451.33984375
9,9589.26953125
10,11033.18359375
11,14514.2734375
12,9643.9208984375
13,9707.146484375
14,12953.2783203125
15,15473.1005859375
16,8715.2294921875
17,11795.3544921875
18,14226.669921875
19,12638.78125
20,11033.18359375
21,10230.134765625
22,12200.8955078125
23,14840.3173828125
24,8715.2294921875
25,13534.3330078125
26,14514.2734375
27,14226.669921875
28,11795.3544921875
29,11033.18359375
30,8715.2294921875
31,10112.2578125
32,10451.33984375
33,9589.26953125
34,11795.3544921875
35,13953.6513671875
36,14226.669921875
37,9824.7841796875
38,14840.3173828125
39,11795.3544921875
40,14226.669921875
41,14514.2734375
42,13534.3330078125
43,14071.7587890625
44,14226.669921875
45,14226.669921875
46,7859.31103515625
47,15473.1005859375
48,10112.2578125
49,9589.26953125
50,13534.3330078125
51,9707.146484375
52,10348.7626953125
53,10828.4638671875
54,12200.8955078125
55,11033.18359375
56,13534.3330078125
57,7859.31103515625
58,14840.3173828125
59,14840.3173828125
60,14514.2734375
61,7859.31103515625
62,9538.51953125
63,11033.18359375
64,11033.18359375
65,7859.31103515625
66,13534.3330078125
67,11033.18359375
68,11033.18359375
69,9824.7841796875
70,9070.2666015625
71,9070.2666015625
72,8715.2294921875
73,10230.134765625
74,14514.2734375
75,15587.1298828125
76,9538.51953125
77,9477.28125
78,12200.8955078125
79,9707.146484375
80,9824.7841796875
81,14840.3173828125
82,13534.3330078125
83,13534.3330078125
84,10112.2578125
85,9824.7841796875
86,14840.3173828125
87,14514.2734375
88,9824.7841796875
89,14840.3173828125
90,13534.3330078125
91,12953.2783203125
92,13534.3330078125
93,9824.7841796875
94,12953.2783203125
95,12953.2783203125
96,10112.2578125
97,8715.2294921875
98,9070.2666015625
99,12638.78125
100,10112.2578125
101,9589.26953125
102,14226.669921875
103,11033.18359375
104,11033.18359375
105,14226.669921875
106,9588.796875
107,9824.7841796875
108,11795.3544921875
109,9643.9208984375
110,8715.2294921875
111,14514.2734375
112,10230.134765625
113,12953.2783203125
114,15133.4404296875
115,7859.31103515625
116,11033.18359375
117,10230.134765625
118,9589.26953125
119,13534.3330078125
120,10112.2578125
121,11795.3544921875
122,14840.3173828125
123,13534.3330078125
124,14514.2734375
125,11033.18359375
126,11033.18359375
127,14226.669921875
128,7859.31103515625
129,12953.2783203125
130,11033.18359375
131,7859.31103515625
132,8715.2294921875
133,8715.2294921875
134,8552.701171875
135,7859.31103515625
136,9643.9208984375
137,11795.3544921875
138,11033.18359375
139,9477.28125
140,7859.31103515625
141,10230.134765625
142,11033.18359375
143,9643.9208984375
144,9589.26953125
145,11795.3544921875
146,11033.18359375
147,11033.18359375
148,14514.2734375
149,7859.31103515625
150,10112.2578125
151,9643.9208984375
152,12638.78125
153,14071.7587890625
154,9824.7841796875
155,8974.60546875
156,14840.3173828125
157,11033.18359375
158,10451.33984375
159,7859.31103515625
160,14226.669921875
161,12953.2783203125
162,13534.3330078125
163,14514.2734375
164,12953.2783203125
165,9589.26953125
166,9070.2666015625
167,8552.701171875
168,9707.146484375
169,9824.7841796875
170,9824.7841796875
171,14840.3173828125
172,10112.2578125
173,7859.31103515625
174,7859.31103515625
175,10112.2578125
176,14514.2734375
177,14840.3173828125
178,14514.2734375
179,7859.31103515625
180,9538.51953125
181,11033.18359375
182,8715.2294921875
183,10230.134765625
184,10230.134765625
185,12953.2783203125
186,8715.2294921875
187,12953.2783203125
188,9643.9208984375
189,12638.78125
190,14514.2734375
191,14226.669921875
192,14840.3173828125
193,9589.26953125
194,9643.9208984375
195,10112.2578125
196,10451.33984375
197,13683.31640625
198,15473.1005859375
199,14978.5009765625
200,11033.18359375
201,9198.39453125
202,11439.5546875
203,14226.669921875
204,8715.2294921875
205,12638.78125
206,9824.7841796875
207,13534.3330078125
208,11033.18359375
209,9643.9208984375
210,9320.8935546875
211,12953.2783203125
212,10112.2578125
213,13534.3330078125
214,10112.2578125
215,14071.7587890625
216,14840.3173828125
217,8715.2294921875
218,9589.26953125
219,7859.31103515625
220,13953.6513671875
221,8974.60546875
222,11795.3544921875
223,9824.7841796875
224,9824.7841796875
225,12200.8955078125
226,11033.18359375
227,9824.7841796875
228,11795.3544921875
229,14840.3173828125
230,14226.669921875
231,13534.3330078125
232,14071.7587890625
233,11033.18359375
234,9824.7841796875
235,15587.1298828125
236,11033.18359375
237,11033.18359375
238,9589.26953125
239,9707.146484375
240,13534.3330078125
241,11795.3544921875
242,11033.18359375
243,13534.3330078125
244,11795.3544921875
245,12953.2783203125
246,14978.5009765625
247,13534.3330078125
248,14514.2734375
249,14226.669921875
250,12953.2783203125
251,9824.7841796875
252,12200.8955078125
253,9707.146484375
254,10451.33984375
255,13534.3330078125
256,14071.7587890625
257,8824.31640625
258,9824.7841796875
259,14514.2734375
260,10451.33984375
261,9707.146484375
262,9643.9208984375
263,9824.7841796875
264,10112.2578125
265,12953.2783203125
266,14226.669921875
267,8715.2294921875
268,9643.9208984375
269,14071.7587890625
270,8715.2294921875
271,9589.26953125
272,11033.18359375
273,9477.28125
274,9320.8935546875
275,14840.3173828125
276,13534.3330078125
277,14514.2734375
278,9824.7841796875
279,10230.134765625
280,10828.4638671875
281,9707.146484375
282,9070.2666015625
283,14840.3173828125
284,14514.2734375
285,14840.3173828125
286,12953.2783203125
287,14514.2734375
288,14514.2734375
289,10112.2578125
290,14226.669921875
291,13534.3330078125
292,9538.51953125
293,12200.8955078125
294,9643.9208984375
295,11795.3544921875
296,14514.2734375
297,8261.7216796875
298,7859.31103515625
299,13534.3330078125
300,11033.18359375
301,7859.31103515625
302,14840.3173828125
303,9538.51953125
304,9824.7841796875
305,10451.33984375
306,10348.7626953125
307,11033.18359375
308,9824.7841796875
309,9707.146484375
310,11033.18359375
311,14514.2734375
312,11033.18359375
313,9070.2666015625
314,10112.2578125
315,14622.787109375
316,10230.134765625
317,10112.2578125
318,13534.3330078125
319,10112.2578125
320,14840.3173828125
321,13534.3330078125
322,10451.33984375
323,11033.18359375
324,10112.2578125
325,15587.1298828125
326,9643.9208984375
327,10112.2578125
328,10230.134765625
329,7859.31103515625
330,14226.669921875
331,13683.31640625
332,14514.2734375
333,14840.3173828125
334,10230.134765625
335,9824.7841796875
336,13534.3330078125
337,11033.18359375
338,7859.31103515625
339,12953.2783203125
340,9538.51953125
341,9070.2666015625
342,7859.31103515625
343,11033.18359375
344,13534.3330078125
345,13534.3330078125
346,14226.669921875
347,14622.787109375
348,11033.18359375
349,14226.669921875
350,9643.9208984375
351,14840.3173828125
352,9643.9208984375
353,10112.2578125
354,8552.701171875
355,11033.18359375
356,14514.2734375
357,7859.31103515625
358,14840.3173828125
359,13534.3330078125
360,13534.3330078125
361,15133.4404296875
362,9643.9208984375
363,9589.26953125
364,15133.4404296875
365,7859.31103515625
366,9824.7841796875
367,12953.2783203125
368,10348.7626953125
369,13534.3330078125
370,10112.2578125
371,8715.2294921875
372,14514.2734375
373,13534.3330078125
374,11033.18359375
